variable_name,concept_domain,standard_definition,source_type,source_reference,mimic_table_field,eicu_table_field,window,code_rule,unit,main_or_sensitivity,status
glucose,metabolic_risk,Earliest clinically relevant glucose around ICU admission,official_database_doc,MIMIC derived tables and eICU lab table docs,mimiciv_derived.first_day_lab.glucose_min or glucose_max,lab.labname in glucose bedside glucose,-24h to +24h from index ICU,use first clinically relevant glucose in window,mg_per_dL,main,operational_proxy
sbp,hemodynamic,Systolic blood pressure closest to ICU admission,official_database_doc,MIMIC derived vitals and eICU vital tables,mimiciv_derived.first_day_vitalsign.sbp_mean or min or max,vitalperiodic.systemicsystolic or vitalaperiodic.noninvasivesystolic,-6h to +6h from index ICU,use clinically plausible systolic blood pressure nearest to ICU admission,mmHg,main,operational_proxy
stemi_flag,ami_subtype,STEMI status if stably identifiable across databases,literature_plus_proxy,AMI coding conventions plus database text fields,ICD-9 or ICD-10 subtype rules plus diagnosis text,diagnosis or admissiondx text,index hospitalization,derive conservatively and treat as sensitivity variable,binary,sensitivity,operational_proxy
hf_flag,antecedent_cvd,Antecedent heart failure history before or at admission excluding current AMI as sole trigger,official_definition_plus_proxy,AHA CKM stage 4 clinical CVD concepts,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,ICD or text evidence of prior or coexisting HF,binary,main,operational_proxy
af_flag,antecedent_cvd,Antecedent atrial fibrillation history,official_definition_plus_proxy,AHA CKM stage 4 clinical CVD concepts,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,ICD or text evidence of AF,binary,main,operational_proxy
stroke_pad_flag,antecedent_cvd,Antecedent stroke or peripheral artery disease history,official_definition_plus_proxy,AHA CKM stage 4 clinical CVD concepts,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,ICD or text evidence of stroke or PAD,binary,main,operational_proxy
icu_los,resource_use,Length of ICU stay for retained index ICU stay,official_database_doc,MIMIC-IV icustays and eICU patient table docs,icustays.los,patient.unitdischargeoffset,index stay,retain official ICU LOS or derive from official offset,days,exploratory,operational_proxy
hospital_los,resource_use,Length of hospital stay for index hospitalization,official_database_doc,MIMIC-IV admissions and eICU patient table docs,admissions.dischtime minus admissions.admittime,patient.hospitaldischargeoffset,index hospitalization,derive from official admission and discharge anchors,days,exploratory,operational_proxy
mv_flag,supportive_therapy,Mechanical ventilation during early ICU course or hospitalization,official_database_doc,MIMIC derived ventilation concept and eICU ventilation events,mimiciv_derived.ventilation.ventilation_status,ventilation_events.event,index hospitalization,MIMIC InvasiveVent or Tracheostomy; eICU mechvent start,binary,exploratory,operational_proxy
vasopressor_flag,supportive_therapy,Vasopressor use during early ICU course or hospitalization,official_database_doc,MIMIC derived vasoactive table and eICU infusiondrug,mimiciv_derived.vasoactive_agent,named vasopressor rows in infusiondrug,index hospitalization,binary flag of vasoactive exposure based on official or operational drug fields,binary,exploratory,operational_proxy
icu_mortality,outcome,Death before ICU discharge,official_database_doc,MIMIC ICU timing and eICU unit discharge status,derived from deathtime and icustays.outtime,patient.unitdischargestatus,index stay,death before ICU discharge,binary,exploratory,operational_proxy
